Altium Designer Pick and Place Locations
C:\Users\DucAnh\Desktop\AltiumDesign\Project\Esp32withUSBC\Project Outputs for Esp32 with USBC\Pick Place\Pick Place for Esp32 with USBC.csv

========================================================================================================================
File Design Information:

Date:       24/03/26
Time:       11:25
Revision:   905054fc0f6a394a545522e5e54173e3f429ca70
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"D6","AQ3045-01ETG","TopLayer","SOD882","342.205","360.000","0","TVS DIODE 5.3VWM 12VC SOD882"
"D5","AQ3045-01ETG","TopLayer","SOD882","335.000","735.000","90","TVS DIODE 5.3VWM 12VC SOD882"
"D4","AQ3045-01ETG","TopLayer","SOD882","335.000","822.795","270","TVS DIODE 5.3VWM 12VC SOD882"
"D3","AQ3045-01ETG","TopLayer","SOD882","340.000","620.000","0","TVS DIODE 5.3VWM 12VC SOD882"
"D2","RED","TopLayer","LED0402R","1730.000","800.000","270","LED RED 0402 SMD"
"D1","GREEN","TopLayer","LED0402G","1730.000","205.000","90","LED YLW-GRN 0402 SMD"
"C17","100nF, 50V","TopLayer","CAPC1005X55N","1645.000","681.929","90","CAP CER 0.1UF 50V X7R 0402"
"C16","1uF, 35V","TopLayer","CAPC1005X55N","1645.000","191.929","90","CAP CER 1UF 35V X5R 0402"
"C15","100nF, 50V","TopLayer","CAPC1005X55N","2465.000","855.000","0","CAP CER 0.1UF 50V X7R 0402"
"C14","10uF, 10V","TopLayer","CAPC1005X55N","2550.000","855.000","180","CAP CER 10UF 10V X5R 0402"
"C13","10uF, 10V","TopLayer","CAPC1005X55N","525.000","220.000","270","CAP CER 10UF 10V X5R 0402"
"C12","10uF, 10V","TopLayer","CAPC1005X55N","575.000","220.000","270","CAP CER 10UF 10V X5R 0402"
"C11","4u7, 16V","TopLayer","CAPC1005X55N","575.000","360.000","90","CAP CER 4.7UF 16V X5R 0402"
"C10","100nF, 50V","TopLayer","CAPC1005X55N","435.000","360.000","180","CAP CER 0.1UF 50V X7R 0402"
"C9","100nF, 50V","TopLayer","CAPC1005X55N","528.071","857.000","0","CAP CER 0.1UF 50V X7R 0402"
"C8","100nF, 50V","TopLayer","CAPC1005X55N","528.071","677.000","0","CAP CER 0.1UF 50V X7R 0402"
"C7","100nF, 50V","TopLayer","CAPC1005X55N","649.000","589.079","90","CAP CER 0.1UF 50V X7R 0402"
"C5","100nF, 50V","TopLayer","CAPC1005X55N","2635.000","855.000","180","CAP CER 0.1UF 50V X7R 0402"
"C4","100nF, 50V","TopLayer","CAPC1005X55N","2630.000","140.000","0","CAP CER 0.1UF 50V X7R 0402"
"C3","100nF, 50V","TopLayer","CAPC1005X55N","740.000","605.000","180","CAP CER 0.1UF 50V X7R 0402"
"C2","4u7, 16V","TopLayer","CAPC1005X55N","740.000","555.000","180","CAP CER 4.7UF 16V X5R 0402"
"C1","100nF, 50V","TopLayer","CAPC1005X55N","431.929","620.000","180","CAP CER 0.1UF 50V X7R 0402"
